日新月异	日新月异 🌞❤🌙👆
喝醉	喝醉 🥴
合	合 🈴 🈴️
合格	合格 🈴
合掌	合掌 🙏
合作	合作 🤝 🤝🏻
和	和 & ∑ ∧
和服	和服 👘
和平	和平 ☮ 🕊 ☮️ 🕊️
和平鸽	和平鸽 🕊 🕊️
和平鴿	和平鴿 🕊 🕊️
和谐号	和谐号 🚅
和諧號	和諧號 🚅
河马	河马 🦛
河馬	河馬 🦛
河豚	河豚 🐡
荷包	荷包 👝
荷包蛋	荷包蛋 🍳
荷兰	荷兰 🇳🇱
荷蘭	荷蘭 🇳🇱
荷属阿鲁巴	荷属阿鲁巴 🇦🇼
荷属沙巴	荷属沙巴 🇧🇶
荷属圣马丁	荷属圣马丁 🇸🇽
荷屬阿魯巴	荷屬阿魯巴 🇦🇼
荷屬沙巴	荷屬沙巴 🇧🇶
荷屬聖馬丁	荷屬聖馬丁 🇸🇽
核辐射	核辐射 ☢ ☢️
核輻射	核輻射 ☢ ☢️
核突	核突 🤢 🤮
核武器	核武器 ☢ ☢️
核子	核子 ⚛ ⚛️
核子能	核子能 ⚛ ⚛️
盒饭	盒饭 🍱
盒飯	盒飯 🍱
贺礼	贺礼 🎁
賀禮	賀禮 🎁
赫兹	赫兹 ㎐ ㎑ ㎒ ㎓ ㎔
黑方	黑方 ◼ ◼️
黑旗	黑旗 🏴
黑人	黑人 👨🏿 👩🏿 👴🏿 👵🏿 👦🏿 👧🏿 👶🏿 🧓🏿 🧑🏿 🧒🏿 👶🏿
黑山	黑山 🇲🇪
黑桃	黑桃 ♠ ♤ ♠️
黑心	黑心 🖤
黑猩猩	黑猩猩 🦍
黑中有白	黑中有白 🔲
黑珠	黑珠 ⚫ ⚫️
黑子	黑子 ⚫ ⚫️
嘿嘿	嘿嘿 😈 😏 😈 😏 🤭
很棒	很棒 👍
很強	很強 👍
很强	很强 👍
哼	哼 😤 😾 🙄
横	横 一
红包	红包 🧧
红唇	红唇 💋
红发	红发 👨🏻‍🦰 👩🏻‍🦰 🧑🏻‍🦰
红酒	红酒 🍷
红酒杯	红酒杯 🍷
红萝卜	红萝卜 🥕
红绿灯	红绿灯 🚥 🚦
红玫瑰	红玫瑰 🌹
红娘	红娘 💘
红苹果	红苹果 🍎
红旗	红旗 🚩
红色书本	红色书本 📕
红薯	红薯 🍠
红桃	红桃 ♥ ♡
红心	红心 ♥ ❤ ♥️ ❤️️
红叶	红叶 🍁
红中	红中 🀄
红珠	红珠 🔴
红子	红子 🔴
宏都拉斯	宏都拉斯 🇭🇳
虹	虹 🌈
洪都拉斯	洪都拉斯 🇭🇳
紅包	紅包 🧧
紅唇	紅唇 💋
紅髮	紅髮 👨🏻‍🦰 👩🏻‍🦰 🧑🏻‍🦰
紅酒	紅酒 🍷
紅酒杯	紅酒杯 🍷
紅蘿蔔	紅蘿蔔 🥕
紅綠燈	紅綠燈 🚥 🚦
紅玫瑰	紅玫瑰 🌹
紅娘	紅娘 💘
紅蘋果	紅蘋果 🍎
紅旗	紅旗 🚩
紅色書本	紅色書本 📕
紅薯	紅薯 🍠
紅桃	紅桃 ♥
紅心	紅心 ♥ ❤ ♥️ ❤️️
紅葉	紅葉 🍁
紅中	紅中 🀄
紅珠	紅珠 🔴
紅子	紅子 🔴
猴	猴 🐵 🐒 🙈 🙉 🙊 🐒
猴脸	猴脸 🐵
猴臉	猴臉 🐵
猴年	猴年 🐵
猴头	猴头 🐵
猴頭	猴頭 🐵
猴子	猴子 🐵 🐒 🙈 🙉 🙊 🐒
猴子脸	猴子脸 🐵
猴子臉	猴子臉 🐵
后	后 🈝 ⬇ ⬇️
后退	后退 🔙
後	後 ⬇ ⬇️
後退	後退 🔙
呼	呼 ㈺
呼机	呼机 📟
呼機	呼機 📟
呼救	呼救 🆘
狐	狐 🦊
狐狸	狐狸 🦊
弧度	弧度 ㎭ ㎮ ㎯
胡扯	胡扯 🤥
胡萝卜	胡萝卜 🥕
胡蘿蔔	胡蘿蔔 🥕
胡说	胡说 🤥
胡說	胡說 🤥
蝴蝶	蝴蝶 🦋
蝴蝶饼	蝴蝶饼 🥨
蝴蝶餅	蝴蝶餅 🥨
蝴蝶脆饼	蝴蝶脆饼 🥨
蝴蝶脆餅	蝴蝶脆餅 🥨
蝴蝶结	蝴蝶结 🎀
蝴蝶結	蝴蝶結 🎀
糊涂	糊涂 🥴
糊塗	糊塗 🥴
虎	虎 🐯 🐅 🐅
虎脸	虎脸 🐯
虎臉	虎臉 🐯
虎年	虎年 🐯
虎头	虎头 🐯
虎頭	虎頭 🐯
許可	許可 🉑
許可證	許可證 🎟 🎟️
許願	許願 🎋
护目镜	护目镜 🥽
护身符	护身符 🧿
护士	护士 👨🏻‍⚕ 👩🏻‍⚕ 🧑🏻‍⚕️
护士服	护士服 🥼
護目鏡	護目鏡 🥽
護士	護士 👨🏻‍⚕ 👩🏻‍⚕ 🧑🏻‍⚕️
護士服	護士服 🥼
花	花 💐 🌸 💮 🏵 🌹 🥀 🌺 🌻 🌼 🌷 ꧁ ꧂ ࿆ ⚜ 🌸 🌺 🌼 🌻 🌷 🌹 💐 🥀 🪷
花豹	花豹 🐆
花菜	花菜 🥦
花大姐	花大姐 🐞
花朵	花朵 🌺 🌼
花瓶	花瓶 🏺
花洒	花洒 🚿
花灑	花灑 🚿
花生	花生 🥜
花束	花束 💐
花椰菜	花椰菜 🥦
花园	花园 ⛲ ⛲️
花园房	花园房 🏡
花園	花園 ⛲ ⛲️
花園房	花園房 🏡
花札	花札 🎴
花札牌	花札牌 🎴
划船	划船 🚣‍♂ 🚣 🚣‍♀ 🚣🏻‍♂ 🚣🏼‍♂ 🚣🏽‍♂ 🚣🏾‍♂ 🚣🏿‍♂ 🚣🏻 🚣🏼 🚣🏽 🚣🏾 🚣🏿 🚣🏻‍♀ 🚣🏼‍♀ 🚣🏽‍♀ 🚣🏾‍♀ 🚣🏿‍♀ 🚣🏻
划艇	划艇 🚣 🚣🏻‍♀ 🚣🏻‍♂ 🚣🏻
华氏度	华氏度 ℉
滑板	滑板 🛹 🎨 🎨 🛹
滑板车	滑板车 🛴
滑板車	滑板車 🛴
滑冰	滑冰 ⛸ ⛸️
滑动开关	滑动开关 🎚 🎚️
滑動開關	滑動開關 🎚 🎚️
滑杆	滑杆 🎚 🎚️
滑桿	滑桿 🎚 🎚️
滑稽	滑稽 😏
滑鼠	滑鼠 🖱 🖱️
滑雪	滑雪 ⛷ 🏂 🎿 ⛷️ 🏂🏻
滑雪板	滑雪板 🎿 🏂 🎿
滑雪鞋	滑雪鞋 🎿
化学	化学 ⚗ ⚗️
化学物质	化学物质 🧪
化學	化學 ⚗ ⚗️
化學物質	化學物質 🧪
化妆室	化妆室 🚻
化妝室	化妝室 🚻
化粧室	化粧室 🚻
画	画 🖼 🎨 🎨
画笔	画笔 🖌 🖌️
画画	画画 🎨
画家	画家 👨‍🎨 🧑‍🎨 👩‍🎨 👨🏻‍🎨 👨🏼‍🎨 👨🏽‍🎨 👨🏾‍🎨 👨🏿‍🎨 🧑🏻‍🎨 🧑🏼‍🎨 🧑🏽‍🎨 🧑🏾‍🎨 🧑🏿‍🎨 👩🏻‍🎨 👩🏼‍🎨 👩🏽‍🎨 👩🏾‍🎨 👩🏿‍🎨 🎨 🎨 🧑🏻‍🎨
画框	画框 🖼 🖼️
话筒	话筒 🎤 🎙 🎙️ 🎤️
畫	畫 🎨
畫筆	畫筆 🖌 🖌️
畫畫	畫畫 🎨
畫家	畫家 🎨 👨🏻‍🎨 👩🏻‍🎨 🎨 🧑🏻‍🎨
畫框	畫框 🖼 🖼️
話筒	話筒 🎙 🎤 🎙️ 🎤️
怀疑	怀疑 🤔 🤨 🥴 🧐
怀孕	怀孕 🤰🏻 🫄🏻
懷孕	懷孕 🤰🏻 🫄🏻
坏蛋	坏蛋 🦹‍♂ 🦹 🦹‍♀ 🦹🏻‍♂ 🦹🏼‍♂ 🦹🏽‍♂ 🦹🏾‍♂ 🦹🏿‍♂ 🦹🏻 🦹🏼 🦹🏽 🦹🏾 🦹🏿 🦹🏻‍♀ 🦹🏼‍♀ 🦹🏽‍♀ 🦹🏾‍♀ 🦹🏿‍♀ 🦹🏻
坏人	坏人 🦹‍♂ 🦹 🦹‍♀ 🦹🏻‍♂ 🦹🏼‍♂ 🦹🏽‍♂ 🦹🏾‍♂ 🦹🏿‍♂ 🦹🏻 🦹🏼 🦹🏽 🦹🏾 🦹🏿 🦹🏻‍♀ 🦹🏼‍♀ 🦹🏽‍♀ 🦹🏾‍♀ 🦹🏿‍♀
坏笑	坏笑 😏
壞蛋	壞蛋 🦹🏻‍♀ 🦹🏻‍♂ 🦹🏻
欢呼	欢呼 🙋 🙋🏻‍♀ 🙋🏻‍♂ 🥳 🙋🏻 🥳
欢庆	欢庆 🍾 🎊 🙌 🙌🏻 🎊 🙌🏻
欢迎	欢迎 🙋 🙋🏻‍♀ 🙋🏻‍♂ 🙋🏻
獾	獾 🦡
歡呼	歡呼 🙋 🙋🏻‍♀ 🙋🏻‍♂ 🥳 🙋🏻 🥳
歡慶	歡慶 🎊 🙌 🙌🏻 🎊 🙌🏻
歡迎	歡迎 🙋 🙋🏻‍♀ 🙋🏻‍♂ 🙋🏻
环保	环保 ♻ ♻️
环扣	环扣 🔗
環保	環保 ♻ ♻️
環扣	環扣 🔗
换汇	换汇 💱
换脸	换脸 🎭
浣熊	浣熊 🦝
換匯	換匯 💱
換臉	換臉 🎭
荒漠	荒漠 🏜 🏜️
皇储	皇储 🤴🏻
皇儲	皇儲 🤴🏻
皇冠	皇冠 👑
皇子	皇子 🤴🏻
黄蜂	黄蜂 🐝
黄瓜	黄瓜 🥒
黄昏	黄昏 🌆 🌇 🌆
黄菱	黄菱 🔶
黄色小菱形	黄色小菱形 🔸
黄色心形	黄色心形 💛
黄鼠狼	黄鼠狼 🦡
黄丝带	黄丝带 🎗 🎗️
黄心	黄心 💛
黄叶	黄叶 🍂
黄油	黄油 🧈
黄种人	黄种人 👨🏻 👩🏻 👴🏻 👵🏻 👦🏻 👧🏻 👶🏻 🧓🏻 🧑🏻 🧒🏻 👶🏻
黃蜂	黃蜂 🐝
黃瓜	黃瓜 🥒
黃昏	黃昏 🌆 🌇 🌆
黃菱	黃菱 🔶
黃色小菱形	黃色小菱形 🔸
黃鼠狼	黃鼠狼 🦡
黃絲帶	黃絲帶 🎗 🎗️
黃心	黃心 💛
黃葉	黃葉 🍂
黃種人	黃種人 👨🏻 👩🏻 👴🏻 👵🏻 👦🏻 👧🏻 👶🏻 🧓🏻 🧑🏻 🧒🏻 👶🏻
谎话	谎话 🤥
灰老鼠	灰老鼠 🐀
灰鼠	灰鼠 🐀
挥汗如雨	挥汗如雨 💦
挥拳	挥拳 👊
挥洒	挥洒 💦
挥手	挥手 🖖 👋 🖖🏻 🖖🏼 🖖🏽 🖖🏾 🖖🏿 👋🏻 👋🏼 👋🏽 👋🏾 👋🏿 👋🏻
虺	虺 🐍
揮汗如雨	揮汗如雨 💦
揮拳	揮拳 👊
揮灑	揮灑 💦
揮手	揮手 👋 👋🏻 👋🏻
回到顶部	回到顶部 🔝
回到頂部	回到頂部 🔝
回到开始	回到开始 🔚
回到開始	回到開始 🔚
回民	回民 ☪ 🧔🏻 🧕🏻 ☪️ 🧕🏾
回收	回收 ♻ ♻️
回纹针	回纹针 📎
回形针	回形针 📎
回形針	回形針 📎
回族	回族 ☪ 🧔🏻 🧕🏻 ☪️ 🧕🏾
迴紋針	迴紋針 📎
汇兑	汇兑 💱
绘画	绘画 🎨
彗星	彗星 ☄ 🌠 ☄️
匯兌	匯兌 💱
繪畫	繪畫 🎨
婚礼	婚礼 🎎 💒 💒
婚禮	婚禮 🎎 💒 💒
混乱	混乱 🙃
混亂	混亂 🙃
魂	魂 👻
魂魄	魂魄 👻
活动	活动 ⛲ ⛺ ⛽ 🀄 🃏 🎒 🎠 🎡 🎢 🎣 🎤 🎥 🎦 🎨 🎪 🎫 🎬 💄 💅 💈 💉 💊 🗽 🛀
活動	活動 ⛲ ⛺ ⛽ 🀄 🃏 🎒 🎠 🎡 🎢 🎣 🎤 🎥 🎦 🎨 🎪 🎫 🎬 💄 💅 💈 💉 💊 🗽 🛀
活火山	活火山 🌋
火	火 ㊋ ㈫ 🔥 🔥
火车	火车 🚂 🚆 🚄 🚅 🚝 🚉 🚊 🚄 🚅 🚝 🚆 🚂 🚉
火车头	火车头 🚂 🚆
火车箱	火车箱 🚆
火车站	火车站 🚉
火車	火車 🚂 🚄 🚅 🚆 🚉 🚊 🚝 🚄 🚅 🚝 🚆 🚂 🚉
火車頭	火車頭 🚂 🚆
火車箱	火車箱 🚆
火車站	火車站 🚉
火锅	火锅 🍲
火鍋	火鍋 🍲
火花	火花 ❇ 💥 ❇️ 💥
火鸡	火鸡 🦃
火雞	火雞 🦃
火箭	火箭 🚀
火警	火警 🚨 👨🏻‍🚒 👩🏻‍🚒 🚨 🧑🏻‍🚒
火烈鸟	火烈鸟 🦩
火炉国	火炉国 🇸🇩
火爐國	火爐國 🇸🇩
火苗	火苗 🔥
火山	火山 🌋
火山喷发	火山喷发 🌋
火山噴發	火山噴發 🌋
火星	火星 ✨
火焰	火焰 🔥
火著	火著 🔥
或	或 ∨
货	货 🚚
货币	货币 ₳ ฿ ₿ ￠ ₡ ¢ ₢ ₵ ₫ € ￡ £ ₤ ₣ ƒ ₲ ₭ Ł ₦ ₱ ＄ $ ₮ ℳ ₩ ￦ ¥ ￥ ₴ ¤ ₰ ៛ ₪ ₯ ₠ ₧ ﷼ 円 元 圓 ㍐ 원 ৳ ₹ ₨ ৲ ௹ 💲 💵 💶 💷 💴 💵 💶 💷 💴 💲
货币兑换	货币兑换 💱
货车	货车 🚚 🚛 🚚
货柜车	货柜车 🚜
货运	货运 🚚
获得	获得 🉐
貨	貨 🚚
貨幣	貨幣 💲 💵 💶 💷 💴 💵 💶 💷 💴 💲
貨幣兌換	貨幣兌換 💱
貨車	貨車 🚚
貨櫃車	貨櫃車 🚜
貨運	貨運 🚚
獲得	獲得 🉐
击剑	击剑 🤺
击掌	击掌 ✋ 🖐 🖐🏻 🖐🏻
击中	击中 🎯
机场	机场 ✈
机灵	机灵 😉
机器人	机器人 🤖 🦾 🦿 🤖
机械	机械 ⚙ 🔩 ⛏ 🛠 ⚒ 🔨 🔧 ⛓ 🧰 ⚙️ 🔩 ⛏ 🛠 ⚒️ 🔨 🔧 ⛓ 🧰 🪒 🪚 🪛 🪜 🪡
机长	机长 👨🏻‍✈ 👩🏻‍✈ 🧑🏻‍✈️
肌	肌 💪 💪🏻 💪🏻
肌肉	肌肉 💪 🦾 💪🏻 💪🏼 💪🏽 💪🏾 💪🏿 💪🏻
鸡	鸡 🐔 🐓 🐣 🐤 🐥 𓅱 🐓
鸡宝宝	鸡宝宝 🐤
鸡翅	鸡翅 🍗
鸡蛋	鸡蛋 🥚 🐣 🥚
鸡蛋饼	鸡蛋饼 🌮
鸡年	鸡年 🐔
鸡肉	鸡肉 🐓
鸡头	鸡头 🐔 🐤
鸡腿	鸡腿 🍗 🍖 🍖
鸡尾酒	鸡尾酒 🍸
鸡尾酒杯	鸡尾酒杯 🍸
鸡尾酒酒杯	鸡尾酒酒杯 🍸
鸡翼	鸡翼 🍗
积	积 ∏
积分	积分 ∫ ∬ ∭ ∮ ∯ ∰ ⨌
基督教	基督教 ✝ ✝️
基佬	基佬 👬 👬🏻
基里巴斯	基里巴斯 🇰🇮
基林	基林 🇨🇨
基因	基因 🧬
機長	機長 👨🏻‍✈ 👩🏻‍✈ 🧑🏻‍✈️
機場	機場 ✈
機靈	機靈 😉
機器人	機器人 🤖
機械	機械 ⚙ 🔩 ⛏ 🛠 ⚒ 🔨 🔧 ⛓ 🧰 ⚙️ 🔩 ⛏ 🛠 ⚒️ 🔨 🔧 ⛓ 🧰 🪒 🪚 🪛 🪜 🪡
擊劍	擊劍 🤺
擊掌	擊掌 ✋ 🖐 🖐🏻 🖐🏻
擊中	擊中 🎯
雞	雞 🐓 🐔 🐓
雞寶寶	雞寶寶 🐤
雞翅	雞翅 🍗
雞蛋	雞蛋 🥚
雞蛋餅	雞蛋餅 🌮
雞年	雞年 🐔
雞肉	雞肉 🐓
雞頭	雞頭 🐔 🐤
雞腿	雞腿 🍖 🍗 🍖
雞尾酒	雞尾酒 🍸
雞尾酒杯	雞尾酒杯 🍸
雞尾酒酒杯	雞尾酒酒杯 🍸
雞翼	雞翼 🍗
鷄蛋	鷄蛋 🥚
吉布地	吉布地 🇩🇯
吉布提	吉布提 🇩🇯
吉尔吉斯	吉尔吉斯 🇰🇬
吉尔吉斯斯坦	吉尔吉斯斯坦 🇰🇬
吉尔吉斯坦	吉尔吉斯坦 🇰🇬
吉爾吉斯	吉爾吉斯 🇰🇬
吉爾吉斯斯坦	吉爾吉斯斯坦 🇰🇬
吉里巴斯	吉里巴斯 🇰🇮
吉士	吉士 🍮
吉他	吉他 🎸
吉它	吉它 🎸
急救车	急救车 🚑
急救車	急救車 🚑
疾跑	疾跑 💨
几何	几何 ● ○ ◯ ◦⦿ ◉ ◎ ▷ ▸ ▹ ► ▻ ◁ ◂ ◃ ◄ ◅ ▼ ▽ ▾ ▿ ▲ △ ▴ ▵ ■ □ ▢ ▣ ◆ ◇ ◊ ◈ ❖ ❍ ◌ ◍ ◖ ◗ ◐ ◑ ◒ ◓ ◔ ◕ ◴ ◵ ◶ ◷ ◘ ◙ ◚ ◛ ▤ ▥ ▦ ▧ ▨ ▩ ◧ ◨ ◩ ◪ ◫ ◰ ◱ ◲ ◳ ▖ ▗ ▘ ▝ ▚ ▞ ▙ ▛ ▜ ▟ ❏ ❐ ❑ ❒ ❘ ❙ ❚ ▀ ▬ ▔ ▁ ▂ ▃ ▄ ▅ ▆ ▇ █ ▉ ▊ ▋ ▌ ▍ ▎ ▏ ▕ ▐ ▮ ▯ ░ ▒ ▓ ▰ ▱ ◬ ◭ ◮ ◢ ◣ ◤ ◥ ◸ ◹ ◺ ◿ ┏ ┳┓┣╋┫┗┻┛╔╦ ╗ ╠ ╬ ╣ ╚ ╩ ╝ ╓ ╥ ╖ ╟ ╫ ╢ ╙ ╨ ╜ ┌ ┬ ┐ ├ ┼ ┤ └ ┴ ┘ ╭ ╮ ╰ ╯ ━ ═ ╱ ╲ ┅ ┈ ┃ ║ ┆ ┇ ╳
几内亚	几内亚 🇬🇳
几内亚比绍	几内亚比绍 🇬🇼
几内亚比索	几内亚比索 🇬🇼
幾內亞	幾內亞 🇬🇳
幾內亞比紹	幾內亞比紹 🇬🇼
幾內亞比索	幾內亞比索 🇬🇼
幾内亞	幾内亞 🇬🇳
计程车	计程车 🚕 🚖 🚕
计时	计时 ⌛ ⏳ ⏳
计时器	计时器 ⏲ ⏲️
计算机	计算机 🖥 🖥️
记录	记录 📝
记事	记事 📝
记事簿	记事簿 📒
技工	技工 👨🏻‍🔧 👩🏻‍🔧 🧑🏻‍🔧
技师	技师 👨🏻‍🔧 👩🏻‍🔧 🧑🏻‍🔧
技師	技師 👨🏻‍🔧 👩🏻‍🔧 🧑🏻‍🔧
季军	季军 🥉
季軍	季軍 🥉
計程車	計程車 🚕 🚖 🚕
計時	計時 ⌛ ⏳ ⏳
計時器	計時器 ⏲ ⏲️
計算機	計算機 🖥 🖥️
記錄	記錄 📝
記事	記事 📝
記事簿	記事簿 📒
祭	祭 ㉀
祭典	祭典 🎆 💮 💮
寄存	寄存 🛅
寄信	寄信 📫
加	加 + ➕ ⁺ ₊ ⊕ ➕
加号	加号 ➕
加號	加號 ➕
加减	加减 ± ∓
加勒比	加勒比 🇧🇶
加密	加密 🔐
加拿大	加拿大 🇨🇦
加那利群岛	加那利群岛 🇮🇨
加那利群島	加那利群島 🇮🇨
加纳	加纳 🇬🇭
加納	加納 🇬🇭
加彭	加彭 🇬🇦
加蓬	加蓬 🇬🇦
加速	加速 ⏩
加速度	加速度 ㎨
加油	加油 ⛽ 📣 😼 😼
加油站	加油站 ⛽ ⛽️
迦纳	迦纳 🇬🇭
迦納	迦納 🇬🇭
家	家 🏠 🏡 ⌂ 🏠
家禽	家禽 🦆 🐓 🦃 🐔 🐤 🐣 🐥 🦚
家人	家人 👪 👫 👬 👭
家庭	家庭 👪 👨‍👩‍👦 👨‍👩‍👧 👨‍👩‍👧‍👦 👨‍👩‍👦‍👦 👨‍👩‍👧‍👧 👨‍👨‍👦 👨‍👨‍👧 👨‍👨‍👧‍👦 👨‍👨‍👦‍👦 👨‍👨‍👧‍👧 👩‍👩‍👦 👩‍👩‍👧 👩‍👩‍👧‍👦 👩‍👩‍👦‍👦 👩‍👩‍👧‍👧 👨‍👦 👨‍👦‍👦 👨‍👧 👨‍👧‍👦 👨‍👧‍👧 👩‍👦 👩‍👦‍👦 👩‍👧 👩‍👧‍👦 👩‍👧‍👧
家有儿女	家有儿女 👨‍👩‍👧‍👦
家有兒女	家有兒女 👨‍👩‍👧‍👦
夹子	夹子 🗜
甲虫	甲虫 𓆣 🪲
甲壳虫	甲壳虫 🐞
甲殻蟲	甲殻蟲 🐞
假话	假话 🤥
假面	假面 🎭 🎭 🥸
假笑	假笑 😏
架子鼔	架子鼔 🥁
駱駝	駱駝 🐪 🐫 🐫
奸笑	奸笑 😈
坚持	坚持 😣
坚果	坚果 🌰
坚忍	坚忍 😣
间谍	间谍 👁 🕵 🕵🏻‍♀ 🕵🏻‍♂ 👁️ 🕵🏻
间隔号	间隔号 · ‧
监	监 ㊬ ㈼
监听	监听 👁‍🗨
堅果	堅果 🌰
堅忍	堅忍 😣
間諜	間諜 👁 🕵 🕵🏻‍♀ 🕵🏻‍♂ 👁️ 🕵🏻
煎饼	煎饼 🥞
煎餅	煎餅 🥞
煎蛋	煎蛋 🍳
煎鸡蛋	煎鸡蛋 🍳
煎雞蛋	煎雞蛋 🍳
監聽	監聽 👁‍🗨
柬埔寨	柬埔寨 🇰🇭
检察	检察 🧐
减	减 - ➖ ⁻ ₋ ⊖ ➖
减号	减号 ➖
减速	减速 ⏪
剪	剪 ✂ ✂️
剪刀	剪刀 ✂ ✁ ✃ ✄ ✌ ✂️
剪发	剪发 💇 💇🏻‍♀ 💇🏻‍♂ 💇🏻
剪髮	剪髮 💇 💇🏻‍♀ 💇🏻‍♂ 💇🏻
剪辑	剪辑 🎬
剪輯	剪輯 🎬
剪切板	剪切板 📋
剪贴板	剪贴板 📋
剪貼板	剪貼板 📋
剪头发	剪头发 💇 💇🏻‍♀ 💇🏻‍♂ 💇🏻
剪頭髮	剪頭髮 💇 💇🏻‍♀ 💇🏻‍♂ 💇🏻
剪子	剪子 ✂ ✁ ✃ ✄ ✂️
減	減 ➖
減號	減號 ➖
減速	減速 ⏪
简餐	简餐 🥡
简直了	简直了 😱 🙀
檢察	檢察 🧐
簡餐	簡餐 🥡
簡直了	簡直了 😱 🙀
见鬼	见鬼 😨
见钱眼开	见钱眼开 🤑
見鬼	見鬼 😨
建设中	建设中 🏗 🏗️
建設中	建設中 🏗 🏗️
建筑	建筑 🏛 🏗 👷‍ 👷‍♂ 👷 👷‍♀ 👷🏻‍♂ 👷🏼‍♂ 👷🏽‍♂ 👷🏾‍♂ 👷🏿‍♂ 👷🏻 👷🏼 👷🏽 👷🏾 👷🏿 👷🏻‍♀ 👷🏼‍♀ 👷🏽‍♀ 👷🏾‍♀ 👷🏿‍♀ ⛪ 🏠 🏡 🏢 🏣 🏤 🏥 🏦 🏧 🏨 🏩 🏪 🏫 🏬 🏭 🏯 🏰
建筑工	建筑工 👷‍ 👷‍♂ 👷‍♀ 👷🏻‍♂ 👷🏼‍♂ 👷🏽‍♂ 👷🏾‍♂ 👷🏿‍♂ 👷🏻‍♀ 👷🏼‍♀ 👷🏽‍♀ 👷🏾‍♀ 👷🏿‍♀ 👷🏻
建筑工地	建筑工地 🏗 🏗️
建筑工人	建筑工人 👷 👷🏻‍♀ 👷🏻‍♂ 👷🏻
建築	建築 ⛪ 🏠 🏡 🏢 🏣 🏤 🏥 🏦 🏧 🏨 🏩 🏪 🏫 🏬 🏭 🏯 🏰
建築工	建築工 👷🏻‍♀ 👷🏻‍♂ 👷🏻
建築工地	建築工地 🏗 🏗️
建築工人	建築工人 👷 👷🏻‍♀ 👷🏻‍♂ 👷🏻
贱人	贱人 🤬
剑	剑 ⚔ ⚔️
舰长	舰长 👨🏻‍✈ 👩🏻‍✈ 🧑🏻‍✈️
溅	溅 💦
键板	键板 ⌨ ⌨️
键盘	键盘 ⌨ ⌨️
賤人	賤人 🤬
箭	箭 🏹
箭头	箭头 ⬆ ↗ ➡ ↘ ⬇ ↙ ⬅ ↖ ↕ ↔ ↩ ↪ ⤴ ⤵ 🔃 🔄 🔙 🔚 🔛 🔜 🔝 ↑ ⇑ ⇧ ⇡ ⇈ ↓ ⇓ ⇩ ⇣ ⇊ ← ⇐ ⇦ ⇠ ⇇ → ⇒ ⇨ ⇢ ⇉ ↵ ↳ ↰ ↱ ↶ ↷ ↺ ↻ ↚ ↛ ↮ ↜ ↝ ↞ ↟ ↠ ↡ ↢ ↣ ↤ ↥ ↦ ↧ ↨ ↫ ↬ ↭ ↯ ↲ ↴ ↸ ↹ ↼ ↽ ↾ ↿ ⇀ ⇁ ⇂ ⇃ ⇄ ⇅ ⇆ ⇋ ⇌ ⇍ ⇏ ⇔ ⇎ ⇕ ⇖ ⇗ ⇘ ⇙ ⇚ ⇛ ⇜ ⇝ ⇞ ⇟ ⇤ ⇥ ⇪ ⇫ ⇬ ⇭ ⇮ ⇯ ⇰ ⇱ ⇲ ⇳ ⇴ ⇵ ⇶ ⇷ ⇸ ⇹ ⇺ ⇻ ⇼ ⇽ ➔ ➘ ➙ ➚ ➛ ➜ ➝ ➞ ➟ ➠ ➢ ➣ ➤ ➥ ➦ ➧ ➨ ➩ ➪ ➫ ➬ ➭ ➮ ➱ ➲ ⎋ ➳ ➴ ➵ ➶ ➷ ➸ ➹ ➺ ➻ ➼ ➽ ➾ ⟰
箭頭	箭頭 ↖ ↗ ↘ ↙ ➡ ⬅ ⬆ ⬇
劍	劍 ⚔ ⚔️
鍵板	鍵板 ⌨ ⌨️
鍵盤	鍵盤 ⌨ ⌨️
濺	濺 💦
艦長	艦長 👨🏻‍✈ 👩🏻‍✈ 🧑🏻‍✈️
江豚	江豚 🐡
僵尸	僵尸 🧟‍♂ 🧟 🧟‍♀ 🧟
殭屍	殭屍 🧟‍♀ 🧟‍♂ 🧟
讲大话	讲大话 🤥
讲话	讲话 🗣 🗣️
奖	奖 🏅 🎖 🥇 🥈 🥉 🏆
奖杯	奖杯 🏆
奖牌	奖牌 🏅 🥇 🥈 🥉 🏅
奖项	奖项 🏅 🎖 🥇 🥈 🥉 🏆 🏅
奖章	奖章 🏅
獎	獎 🏅 🎖 🥇 🥈 🥉 🏆
獎杯	獎杯 🏆
獎盃	獎盃 🏆
獎牌	獎牌 🏅
獎項	獎項 🏅 🎖 🥇 🥈 🥉 🏆 🏅
獎章	獎章 🏅
講大話	講大話 🤥
講話	講話 🗣 🗣️
降低	降低 🔽
降落	降落 🛬
降落伞	降落伞 🪂
交	交 🈘 ∩
交集	交集 ∩
交通	交通 ⛵ ✈ 💺 🚀 🚁 🚂 🚃 🚄 🚅 🚇 🚈 🚉 🚊 🚌 🚍 🚎 🚏 🚐 🚑 🚒 🚓 🚔 🚕 🚖 🚗 🚘 🚙 🚚 🚜 🚝 🚞 🚟 🚠 🚡 🚢 🚣 🚤 🚥 🚦 🚧 🚨 🚲 🚴 🚶
交通标志	交通标志 🚥 🚧
交通標誌	交通標誌 🚥 🚧
交通灯	交通灯 🚥 🚦
交通燈	交通燈 🚥 🚦
交通工具	交通工具 🚄 🚌
交通号志	交通号志 🚥 🚦
交通號誌	交通號誌 🚥 🚦
